nombre,jugador,club,equipo,liga,posicion,perfil_natural,edad,nacionalidad,minutos,salario_meur,salario_min_meur,salario_max_meur,valor_mercado_meur,contrato_hasta,goles_90,xg_90,xa_90,tiros_90,asistencias_90,pases_clave_90,regates_completados_90,carreras_progresivas_90,pases_completados_pct,pases_progresivos_90,entradas_90,intercepciones_90,recuperaciones_90,duelos_ganados_pct,duelos_aereos_ganados_pct,despejes_90,paradas_pct,paradas_90,centros_completados_pct,tiros_area_90,conversion_pct,nombre_completo,nacionalidad_nombre,segunda_nacionalidad,lugar_nacimiento,dorsal_opta,fecha_inicio_club,fecha_fin_club,activo_en_club,posicion_opta,tirador_lejano_medalla,tirador_lejano_pts,cabeceador_medalla,cabeceador_pts,recuperador_puro_medalla,recuperador_puro_pts,presionador_alto_medalla,presionador_alto_pts,medallas,g_menos_xg_90,lado,progresor_pts,progresor_medalla,paradon_pts,paradon_medalla,diamante_medalla,diamante_pts
J. Rodríguez,Jorge Rodriguez,CF Monterrey,CF Monterrey,Liga MX,Mediocentro,Pivote defensivo,30,Argentina,1682,0.72,0.648,0.792,2.3,,0.05,0.14,0.08,0.7,0.0,0.75,0.27,18.25,0.0,18.25,2.25,1.23,4.87,61.8,63.6,2.62,0.0,0.0,0.0,0.86,7.7,Jorge Agustín Rodríguez,Argentina,,Mendoza,30.0,2024-01-05Z,2024-12-31Z,yes,Midfielder,,13,,10,BRONCE,47,BRONCE,33,🥉REC 🥉PRE 🥇PRO,-0.09,Centro,90.0,ORO,0.0,,,0
I. Fimbres,Iker Fimbres,CF Monterrey,CF Monterrey,Liga MX,Mediocentro,Mediocentro mixto,21,Mexico,927,0.27,0.243,0.297,5.0,,0.19,0.25,0.06,0.97,0.19,0.58,0.97,10.1,0.0,10.1,1.46,0.49,3.69,43.3,36.4,0.58,0.0,0.0,33.3,1.55,20.0,Iker Jareth Fimbres Ochoa,Mexico,,,204.0,2023-07-13Z,,yes,Midfielder,BRONCE,37,,0,BRONCE,47,PLATA,67,🥉TL 🥉REC 🥈PRE,-0.06,Centro,26.0,,0.0,,,0
,Allen Rojas,,,,Mediocentro,,20,Mexico,0,0.26,0.234,0.286,0.79,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
,Carlos Frayde,,,,Mediocentro,,22,Mexico,0,0.01,0.009,0.011,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
,Sebastian Rodriguez,,,,Mediocentro,,18,Mexico,0,0.01,0.009,0.011,0.035,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
,Joel Dominguez,,,,Mediocentro,,21,Mexico,0,0.01,0.009,0.011,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
,Jose Urias,,,,Mediocentro,,20,Mexico,0,0.01,0.009,0.011,0.021,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
,Omar Galvez,,,,Mediocentro,,20,Mexico,0,0.01,0.009,0.011,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
Sergio Canales,Sergio Canales,CF Monterrey,CF Monterrey,Liga MX,Mediocentro,Extremo creativo,35,Spain,1360,5.31,4.779,5.841,1.8,,0.46,0.83,0.29,2.05,0.4,2.85,0.86,15.09,0.0,15.09,0.33,0.2,4.1,43.5,40.0,0.0,0.0,0.0,15.2,4.04,22.6,Sergio Canales Madrazo,Spain,,Santander,10.0,2023-07-24Z,,yes,Midfielder,PLATA,50,,13,,13,PLATA,70,🥈TL 🥈PRE 🥈PRO,-0.37,Centro,73.0,PLATA,0.0,,,0
J. Corona,Jesus Corona,CF Monterrey,CF Monterrey,Liga MX,Extremo,Extremo creativo,33,Mexico,971,1.05,0.945,1.155,1.1,,0.09,0.48,0.22,1.39,0.74,2.13,2.78,9.08,0.0,9.08,1.67,0.65,4.26,50.0,60.0,0.28,0.0,0.0,33.3,5.65,6.7,Jesús Manuel Corona Ruíz,Mexico,POR,Hermosillo,17.0,2023-09-01Z,,yes,Midfielder,,0,,0,BRONCE,43,ORO,90,🥉REC 🥇PRE,-0.39,Derecho,,,0.0,,,0
,Luca Orellano,,,,Extremo,,26,Argentina,0,1.29,1.161,1.419,3.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Derecho,,,0.0,,,0
,Cristian Reyes,,,,Extremo,,20,Mexico,0,0.01,0.009,0.011,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,,,0.0,,,0
L. Ocampos,Lucas Ocampos,CF Monterrey,CF Monterrey,Liga MX,Extremo,Mediocentro mixto,31,Argentina,634,2.29,2.061,2.519,2.4,,0.0,0.59,0.09,1.99,0.14,0.85,1.42,11.78,0.0,11.78,1.42,0.14,3.12,45.3,61.5,0.57,0.0,0.0,16.7,4.26,0.0,Lucas Ariel Ocampos Lain,Argentina,ESP,Buenos Aires,29.0,2024-09-02Z,,yes,Midfielder,,27,,0,BRONCE,33,ORO,90,🥉REC 🥇PRE,-0.59,Izquierdo,,,0.0,,,0
,Anthony Martial,,,,Delantero,,30,France,0,0.98,0.882,1.078,4.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
,Uros Djurdjevic,,,,Delantero,,32,Montenegro,0,0.36,0.324,0.396,1.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
R. de la Rosa,Roberto de la Rosa,CF Monterrey,CF Monterrey,Liga MX,Delantero,Finalizador de area,26,Mexico,568,0.37,0.333,0.407,1.4,,0.32,0.78,0.16,2.22,0.32,1.58,0.63,5.07,0.0,5.07,0.32,0.0,2.38,32.0,23.5,0.63,0.0,0.0,100.0,5.07,14.3,Roberto Carlos de la Rosa González,Mexico,,Texcoco,31.0,2024-06-27Z,2025-06-30Z,yes,Attacker,,13,,10,,0,,0,,-0.46,Centro,44.0,,0.0,,,0
J. Moxica,Joaquin Moxica,CF Monterrey,CF Monterrey,Liga MX,Delantero,Finalizador de area,20,Mexico,28,0.02,0.018,0.022,0.055,,0.0,0.55,0.33,6.43,0.0,3.21,0.0,6.43,0.0,6.43,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,3.21,0.0,Joaquín Alejandro Moxica Chapa,Mexico,,,188.0,2023-11-01Z,,yes,Attacker,,0,,0,,0,,0,🥉PRO,-0.55,Centro,66.0,BRONCE,0.0,,,0
E. Andrada,Esteban Andrada,CF Monterrey,CF Monterrey,Liga MX,Portero,Shot-stopper,35,Argentina,1080,0.66,0.594,0.726,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.08,15.17,0.0,15.17,0.0,0.0,10.08,90.9,100.0,1.17,66.0,2.75,0.0,0.0,0.0,Esteban Maximiliano Andrada,Argentina,,Mendoza,1.0,2021-07-01Z,,yes,Goalkeeper,,0,,0,,0,,0,,0.0,Centro,36.0,,19.0,,,0
